fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
19,US,IA,,state,,iso1:us#iso2:us-ia,,3155070,0.025,other,2.1,1.22,0.91,0.17,0.07,17,actual,420,actual,0.66,1,0,1,0,1,0,0,373372,6124,371274,3237528,403,13582,5126,134,0.5,667,437,17,0.56,58,3437745,1610201,1491517,2021-06-25,https://covidactnow.org/us/iowa-ia,0.51,0.473,4,3004010
16,US,ID,,state,,iso1:us#iso2:us-id,,1787065,0.043,other,4.8,0.58,0.95,0.13,0.22,31,actual,173,actual,0.65,1,1,1,1,1,0,0,194685,2145,229955,1415395,250,3796,2211,97,0.54,313,204,31,0.53,89,1660020,700444,632531,2021-06-25,https://covidactnow.org/us/idaho-id,0.392,0.354,3,1306006
17,US,IL,,state,,iso1:us#iso2:us-il,,12671821,0.007,other,1.8,3.42,0.76,0.1,0.08,109,actual,1942,actual,0.62,1,0,1,0,0,0,0,1394189,25630,1371238,19786311,3800,38143,22118,551,0.58,3331,2051,109,0.615201900238,228,14549385,7424130,5663008,2021-06-25,https://covidactnow.org/us/illinois-il,0.586,0.447,22,12680771
18,US,IN,,state,,iso1:us#iso2:us-in,,6732219,0.024,other,4.2,1.14,0.87,0.1,0.11,90,actual,1413,actual,0.66,1,0,1,0,0,0,0,755345,13819,838459,7932425,1600,18472,12607,452,0.57,2270,1503,90,0.653419593346,287,6633900,2967689,2643394,2021-06-25,https://covidactnow.org/us/indiana-in,0.441,0.393,3,5513454
20,US,KS,,state,,iso1:us#iso2:us-ks,,2913314,0.04,other,3.1,0.78,0.92,0.14,0.15,44,actual,559,actual,0.71,1,1,1,1,1,0,1,318591,5175,298024,2818243,359,12492,5391,141,0.51,847,603,44,0.633136094675,8,3060735,1418185,1199784,2021-06-25,https://covidactnow.org/us/kansas-ks,0.487,0.412,0,2451806
21,US,KY,,state,,iso1:us#iso2:us-ky,,4467673,0.022,other,2.9,1.92,0.81,0.11,0.08,57,actual,1102,actual,0.63,1,0,1,0,0,0,0,464552,7247,496897,4123972,1240,19775,8891,214,0.59,1836,1159,57,0.66,149,4426955,2189295,1899172,2021-06-25,https://covidactnow.org/us/kentucky-ky,0.49,0.425,5,3932696
22,US,LA,,state,,iso1:us#iso2:us-la,,4648794,0.031,other,6.7,0.51,1.0,0.1,0.11,85,actual,1045,actual,0.62,1,1,1,1,1,0,0,479311,10717,529512,6286970,800,20906,9304,250,0.55,1835,1130,85,0.668632075472,365,4018520,1751835,1580796,2021-06-25,https://covidactnow.org/us/louisiana-la,0.377,0.34,8,3295157
25,US,MA,,state,,iso1:us#iso2:us-ma,,6892503,0.004,other,0.9,7.56,0.69,0.15,0.08,31,actual,987,actual,0.74,0,0,0,0,0,0,1,709622,17986,791381,22538690,2350,24379,16215,130,0.72,1384,1018,31,0.5,78,9663570,4812795,4161157,2021-06-25,https://covidactnow.org/us/massachusetts-ma,0.698,0.604,4,8721461
24,US,MD,,state,,iso1:us#iso2:us-md,,6045680,0.008,other,1.0,4.85,0.75,0.16,0.1,45,actual,858,actual,0.69,0,0,0,0,0,0,0,462170,9729,945871,10536175,1400,14456,9192,361,0.72,1317,903,45,0.66,66,8383770,3679187,3288245,2021-06-25,https://covidactnow.org/us/maryland-md,0.609,0.544,7,6719727
23,US,ME,,state,,iso1:us#iso2:us-me,,1344212,0.011,other,1.8,0.7,0.68,0.23,0.14,14,actual,221,actual,0.73,1,0,1,1,0,0,1,68889,856,62580,2301436,86,3847,2328,70,0.63,323,235,14,0.7246753246750001,12,1845750,887078,812689,2021-06-25,https://covidactnow.org/us/maine-me,0.66,0.605,0,1594846
