fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
12740,US,,,cbsa,,iso1:us#cbsa:12740,,58409,0.003,other,0.2,,0.95,1.18,,,0.41,0,0,0,4,1,4,0,1898,15,,,,147,50,1,0.73,14,5,1,0.5,0,,42287,35400,2021-06-25,,0.724,0.606,0,
12780,US,,,cbsa,,iso1:us#cbsa:12780,,51527,0.137,other,3.3,,1.05,0.91,,,0.95,2,2,1,4,1,4,3,5278,119,,,,140,71,3,0.46,8,7,0,,0,,16997,14407,2021-06-25,,0.33,0.28,0,
12860,US,,,cbsa,,iso1:us#cbsa:12860,,57280,0.005,other,1.0,,0.74,1.23,,,0.42,0,0,0,4,0,4,0,5440,124,,,,153,38,0,0.39,12,5,0,0.41,1,,28365,26062,2021-06-25,,0.495,0.455,0,
12900,US,,,cbsa,,iso1:us#cbsa:12900,,55267,0.065,other,12.7,,0.99,0.64,,,,2,1,2,4,1,4,4,5550,171,,,,,,,,,,,,15,,16644,13504,2021-06-25,,0.301,0.244,0,
12940,US,,,cbsa,,iso1:us#cbsa:12940,,854884,0.055,other,8.2,,1.14,0.2,,,,2,1,1,4,2,4,4,85432,1648,,,,2968,,,,231,,,,80,,323637,296011,2021-06-25,,0.379,0.346,2,
12980,US,,,cbsa,,iso1:us#cbsa:12980,,134159,0.015,other,2.1,,0.59,0.67,,,0.85,1,0,1,4,0,4,2,14544,315,,,,282,149,6,0.52,26,22,1,0.45,4,,54912,50135,2021-06-25,,0.409,0.374,1,105047
13020,US,,,cbsa,,iso1:us#cbsa:13020,,103126,0.013,other,1.7,,0.78,0.97,,,0.68,1,0,1,4,0,4,0,11258,353,,,,407,234,3,0.56,32,21,0,0.73,2,,51469,46550,2021-06-25,,0.499,0.451,0,98019
13060,US,,,cbsa,,iso1:us#cbsa:13060,,36643,0.054,other,8.2,,0.97,0.84,,,0.86,1,1,1,4,1,4,3,4264,114,,,,75,28,2,0.28,4,3,0,0.47,3,,13843,11457,2021-06-25,,0.378,0.313,0,24361
13100,US,,,cbsa,,iso1:us#cbsa:13100,,21513,,other,,,,,,,,4,4,4,4,4,4,4,,,,,,25,7,0,0.46,3,0,1,0.16,,,7212,6604,2021-06-25,,0.335,0.307,,
13140,US,,,cbsa,,iso1:us#cbsa:13140,,392563,0.044,other,1.5,,0.71,0.52,,,,1,1,1,4,0,4,4,35201,707,,,,,,18,,,,4,,5,,128414,106917,2021-06-25,,0.327,0.272,0,230008
