GEOID,County,State,Target_PctChg,AgeUnder15,Age15to24,Age25to34,Age35to44,Age45to64,Age65to84,asAgeOver85,Married_Family,Avg_HH_Size,Avg_Fam_Size,High_School,BS,Veterans,Born_in_State,Own_Comp,Broadband_Access,Mean_HHI,Median_HHI,Unempl_Rate,maskLow,maskHigh,DensPerSqMile,DominantReligion,Religiosity,Region,vaccineHest,Geographical_Point,CVAC_level_of_concern_for_vaccination_rollout,Social_Vulnerability_Index_SVI,per_dem,per_gop
6065,Riverside County,California,2.248868778,0.142,0.139,0.14,0.13,0.238,0.132,0.016,0.538,3.31,3.85,0.831,0.235,0.064,0.614,0.956,0.905,95564,73260,5.8,0.081,0.919,303.8,Catholic,0.453125421,West,0.2093,POINT (-119.662127 37.211164),0.65,0.79,0.529982252,0.450433466
6067,Sacramento County,California,0.889400922,0.132,0.123,0.158,0.136,0.244,0.127,0.018,0.451,2.74,3.36,0.889,0.312,0.062,0.618,0.955,0.914,93318,72017,5.5,0.115,0.886,1470.8,Catholic,0.386422778,West,0.209,POINT (-119.662127 37.211164),0.58,0.73,0.613690849,0.361142436
6071,San Bernardino County,California,1.437837838,0.148,0.145,0.154,0.13,0.233,0.107,0.012,0.522,3.31,3.81,0.807,0.225,0.054,0.646,0.953,0.884,86334,67903,5.9,0.097,0.902,101.5,Catholic,0.409837805,West,0.2275,POINT (-119.662127 37.211164),0.69,0.9,0.542088471,0.435537517
6073,San Diego County,California,0.503968254,0.119,0.135,0.164,0.136,0.239,0.127,0.018,0.507,2.87,3.43,0.881,0.399,0.079,0.506,0.961,0.927,112786,83985,5.6,0.074,0.926,735.8,Catholic,0.456778361,West,0.187,POINT (-119.662127 37.211164),0.55,0.56,0.60225807,0.374655527
6075,San Francisco County,California,1.352201258,0.071,0.089,0.231,0.161,0.243,0.137,0.023,0.349,2.36,3.12,0.884,0.592,0.027,0.397,0.951,0.897,173858,123859,3.7,0.063,0.938,17179.2,Catholic,0.386242525,West,0.1181,POINT (-119.662127 37.211164),0.52,0.39,0.852743665,0.127220616
6077,San Joaquin County,California,-0.187732342,0.153,0.143,0.14,0.133,0.233,0.114,0.016,0.534,3.22,3.71,0.796,0.2,0.046,0.657,0.95,0.873,92484,68997,6.2,0.154,0.845,492.6,Catholic,0.455163095,West,0.2209,POINT (-119.662127 37.211164),0.7,0.89,0.558644169,0.419833381
6079,San Luis Obispo County,California,-0.141509434,0.099,0.182,0.112,0.113,0.238,0.189,0.022,0.51,2.51,3.03,0.908,0.372,0.073,0.676,0.968,0.917,99083,77265,3.4,0.086,0.914,81.7,Catholic,0.595281805,West,0.2032,POINT (-119.662127 37.211164),0.39,0.37,0.553040124,0.422316995
6081,San Mateo County,California,0.492211838,0.113,0.108,0.149,0.145,0.266,0.144,0.021,0.536,2.86,3.38,0.906,0.523,0.038,0.465,0.963,0.933,193572,138500,2.8,0.087,0.912,1602.2,Catholic,0.477496726,West,0.1281,POINT (-119.662127 37.211164),0.4,0.26,0.778883727,0.201965585
6083,Santa Barbara County,California,0.442748092,0.124,0.192,0.134,0.113,0.219,0.13,0.027,0.449,2.9,3.46,0.813,0.345,0.055,0.568,0.947,0.912,112619,75653,4.6,0.11,0.89,155,Catholic,0.49556376,West,0.2104,POINT (-119.662127 37.211164),0.54,0.71,0.648880612,0.328207381
6085,Santa Clara County,California,1.117318436,0.121,0.12,0.163,0.145,0.254,0.12,0.018,0.551,2.94,3.43,0.89,0.537,0.032,0.444,0.966,0.934,180645,133076,3.5,0.069,0.932,1381,Catholic,0.454844464,West,0.125,POINT (-119.662127 37.211164),0.42,0.36,0.726573798,0.252329746
6087,Santa Cruz County,California,-0.051948052,0.106,0.181,0.121,0.116,0.25,0.162,0.014,0.471,2.66,3.18,0.875,0.438,0.045,0.604,0.954,0.9,126138,89269,4.3,0.094,0.906,589.4,Catholic,0.339169608,West,0.1807,POINT (-119.662127 37.211164),0.48,0.54,0.789013509,0.186034145
6089,Shasta County,California,-0.630136986,0.119,0.116,0.128,0.116,0.253,0.185,0.026,0.472,2.43,3.03,0.933,0.218,0.099,0.705,0.91,0.835,81663,63091,5,0.222,0.779,46.9,Other,0.287434475,West,0.2403,POINT (-119.662127 37.211164),0.57,0.7,0.322927879,0.654348762
6095,Solano County,California,1.510040161,0.125,0.121,0.146,0.129,0.257,0.141,0.02,0.499,2.9,3.41,0.892,0.289,0.094,0.589,0.961,0.922,105465,86652,4,0.124,0.876,503,Catholic,0.388615778,West,0.1909,POINT (-119.662127 37.211164),0.53,0.59,0.63954895,0.336713129
6097,Sonoma County,California,0.342905405,0.109,0.117,0.124,0.125,0.271,0.184,0.023,0.475,2.55,3.06,0.897,0.374,0.062,0.639,0.962,0.929,117426,87828,3.4,0.056,0.944,307.1,Catholic,0.369223234,West,0.181,POINT (-119.662127 37.211164),0.44,0.4,0.745336475,0.230473585
6099,Stanislaus County,California,-0.132841328,0.151,0.143,0.143,0.128,0.229,0.12,0.014,0.505,3.12,3.63,0.803,0.173,0.048,0.689,0.944,0.872,79840,63037,7.1,0.122,0.878,344.2,Catholic,0.405873812,West,0.239,POINT (-119.662127 37.211164),0.65,0.87,0.492567807,0.484674882
6101,Sutter County,California,0.042772861,0.148,0.136,0.133,0.121,0.239,0.134,0.022,0.486,2.91,3.51,0.795,0.21,0.074,0.634,0.881,0.83,89212,62777,5.6,0.169,0.832,157.3,Catholic,0.328235008,West,0.2519,POINT (-119.662127 37.211164),0.62,0.88,0.407293621,0.571646341
6107,Tulare County,California,4.272727273,0.175,0.149,0.143,0.127,0.21,0.102,0.013,0.544,3.2,3.57,0.741,0.136,0.053,0.695,0.923,0.825,74820,57692,8.8,0.179,0.821,91.7,Catholic,0.419251027,West,0.2469,POINT (-119.662127 37.211164),0.74,0.94,0.450208401,0.52835213
6111,Ventura County,California,-0.743902439,0.128,0.134,0.134,0.124,0.263,0.141,0.021,0.545,3.1,3.63,0.865,0.348,0.053,0.598,0.935,0.895,121196,92236,4.1,0.068,0.933,446.7,Catholic,0.46695566,West,0.1828,POINT (-119.662127 37.211164),0.46,0.48,0.594722473,0.383742057
